class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,eventDate,month,year,speciesKey,recordedBy,oso_2024,code,label_fr,label_en,vernacularName_fr,in_ep,ep_names,ep_types,ep_types_abr,ep_uicn_categories,cd_sig
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.20183,6.91165,25.0,1810.0,2004-10-18,10.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.15236,7.03342,25.0,2315.0,2002-10-25,10.0,2002,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E102N634
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29395,6.85527,25.0,1770.0,2003-11-29,11.0,2003,2474055.0,AUTRAN Sébastien;AUTRAN Gérard;AUTRAN Lucile,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E100N636
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.33668,6.92097,250.0,2070.0,2002-05-04,5.0,2002,2473682.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Tétras lyre,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29173,6.91786,250.0,1910.0,2005-09-27,9.0,2005,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.29173,6.91786,250.0,1750.0,2002-10-27,10.0,2002,2473682.0,AUTRAN Gérard;AUTRAN Sébastien,18,18.0,Prairies naturelles,Natural grasslands and pastures,Tétras lyre,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29395,6.85527,25.0,1740.0,2004-11-04,11.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E100N636
Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta,"Lagopus muta (Montin, 1781)",44.1973,7.03661,25.0,2535.0,2004-11-06,11.0,2004,5227679.0,AUTRAN Gérard,19,19.0,Landes ligneuses / broussailles,Woody moorlands,Lagopède alpin,False,,,,,10kmL93E102N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29395,6.85527,25.0,1930.0,2004-02-09,2.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E100N636
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.24453,6.97728,25.0,1990.0,2004-01-15,1.0,2004,2473682.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Tétras lyre,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.20183,6.91165,25.0,1840.0,2004-03-01,3.0,2004,2474055.0,AUTRAN Lucile;AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.24453,6.97728,25.0,1670.0,2003-01-03,1.0,2003,2473682.0,AUTRAN Gérard;AUTRAN Lucile,18,18.0,Prairies naturelles,Natural grasslands and pastures,Tétras lyre,False,,,,,10kmL93E101N635
