class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,eventDate,month,year,speciesKey,recordedBy,oso_2024,code,label_fr,label_en,vernacularName_fr,in_ep,ep_names,ep_types,ep_types_abr,ep_uicn_categories,cd_sig
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.20183,6.91165,25.0,1840.0,2004-12-01,12.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.69406,7.00906,250.0,2569.0,1998-09-26,9.0,1998,2474055.0,PAULUS Guillaume,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Queyras; Ristolas - Mont-Viso; Réserve De Biosphère Du Mont Viso,"Parc naturel régional; Réserve de Biosphère, zone centrale; Réserve naturelle nationale",bios; pnr; rnn,IV; V,10kmL93E101N640
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.29173,6.91786,250.0,1750.0,2005-10-08,10.0,2005,2473682.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Tétras lyre,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.33668,6.92097,250.0,2290.0,2004-05-19,5.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29173,6.91786,250.0,1720.0,2003-12-22,12.0,2003,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta,"Lagopus muta (Montin, 1781)",44.25331,6.72713,25.0,3000.0,1994-07-20,7.0,1994,5227679.0,VIDAL Eric,20,20.0,Surfaces minérales naturelles,Natural mineral surfaces,Lagopède alpin,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E099N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29173,6.91786,250.0,1720.0,2004-10-15,10.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.20183,6.91165,25.0,1840.0,2005-09-13,9.0,2005,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29395,6.85527,25.0,1610.0,2005-01-08,1.0,2005,2474055.0,AUTRAN Gérard;AUTRAN Lucile;AUTRAN Sébastien,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E100N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.19959,6.97413,25.0,1530.0,2004-11-03,11.0,2004,2474055.0,AUTRAN Gérard;PIQUES Jean-Christian,17,17.0,Forêt de conifères,Softwood forest,Perdrix bartavelle,False,,,,,10kmL93E101N635
