class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,eventDate,month,year,speciesKey,recordedBy,geometry,oso_2024,code,label_fr,label_en
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.093,7.40439,25.0,2286.0,2018-10-27,10.0,2018,2473682.0,RIGAUD Anne,POINT (7.40439 44.093),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.4781,6.74196,250.0,1942.0,2018-05-20,5.0,2018,2473682.0,BELLEAU Eric,POINT (6.74196 44.4781),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.67391,6.2498,25.0,1989.0,2018-05-21,5.0,2018,2473682.0,CORAIL Marc,POINT (6.2498 44.67391),13,13,Prairies,Grasslands
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.67575,6.18676,25.0,1941.0,2018-05-11,5.0,2018,2473682.0,CORAIL Marc,POINT (6.18676 44.67575),16,16,Forêt de feuillus,Hardwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.67754,6.12373,25.0,1940.0,2018-10-04,10.0,2018,2473682.0,CORAIL Marc,POINT (6.12373 44.67754),16,16,Forêt de feuillus,Hardwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.63774,5.93225,25.0,1700.0,2018-05-22,5.0,2018,2473682.0,CORAIL Marc,POINT (5.93225 44.63774),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.63433,6.05824,250.0,1845.0,2018-02-26,2.0,2018,2473682.0,CORAIL Marc,POINT (6.05824 44.63433),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",45.02397,6.58782,250.0,2033.0,2018-05-11,5.0,2018,2473682.0,BALESTRA Robert,POINT (6.58782 45.02397),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.8378,6.76594,250.0,2290.0,2018-12-08,12.0,2018,2473682.0,NIERMONT Jean-Pierre,POINT (6.76594 44.8378),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.63774,5.93225,25.0,1670.0,2018-05-26,5.0,2018,2473682.0,FLITTI Amine,POINT (5.93225 44.63774),18,18,Prairies naturelles,Natural grasslands and pastures
