species,vernacularName_fr
Charadrius mexicanus,
Recurvirostra americana,
Recurvirostra avosetta,Avocette élégante
Actitis hypoleucos,Chevalier guignette
Actites hypoleucos,
Tringa hypoleucos,
Actitis macularius,Chevalier grivelé
Actites macularia,
Actitis macularia,
Tringa macularia,
Arenaria interpres,"Tournepierre à collier, Pluvier des Salines"
Strepsilas interpres,
Tringa interpres,
Tringa morinella,
Bartramia longicauda,"Bartramie des champs, Bartramie à longue queue, Maubèche des champs"
Baratramia longicauda,
Tringa longicauda,
Calidris acuminata,Bécasseau à queue pointue
Erolia acuminata,
Heteropygia acuminata,
Totanus acuminatus,
Calidris alba,Bécasseau sanderling
Calidris arenaria,
Crocethia alba,
Tringa alba,
Calidris leucophaea,
Calidris alpina,Bécasseau variable
Erolia alpina,
Pelidna alpina,
Tringa alpina,
Tringa Schinzii,
Calidris bairdii,Bécasseau de Baird
Actodromas bairdii,
Erolia bairdii,
Calidris canutus,Bécasseau maubèche
Tringa canutus,
Tringa islandica,
Tringa rufa,
Calidris falcinellus,Bécasseau falcinelle
Limicola falcinellus,
Scolopax falcinellus,
Calidris ferruginea,Bécasseau cocorli
Calidris testacea,
Erolia ferruginea,
Scolopax testacea,
Tringa ferrugineus,
Erolia testacea,
Calidris fuscicollis,"Bécasseau de Bonaparte, Bécasseau à croupion blanc"
Calidris fusicollis,
Erolia fuscicollis,
Tringa fuscicollis,
Calidris himantopus,"Bécasseau à échasses, Bécasseau échasse"
Micropalama himantopus,Bécasseau échasse
Tringa himantopus,
Calidris maritima,Bécasseau violet
Erolia maritima,
Pelidna maritima,
Tringa maritima,
Calidris mauri,Bécasseau d'Alaska
Ereunetes mauri,
Calidris melanotos,"Bécasseau tacheté, Bécasseau à poitrine cendrée"
Erolia melanotos,
Heteropygia melanotos,
Tringa melanotos,
Erolia maculata,
Calidris minuta,Bécasseau minute
Erolia minuta,
Tringa minuta,
Calidris minutilla,Bécasseau minuscule
Erolia minutilla,
Tringa minutilla,
Calidris pugnax,"Combattant varié, Chevalier combattant"
Philomachus pugnax,
Tringa pugnax,
Calidris pusilla,Bécasseau semipalmé
Ereunetes pusillus,
Tringa pusilla,
Calidris ruficollis,Bécasseau à cou roux
Trynga ruficollis,
Calidris subminuta,Bécasseau à longs doigts
Tringa subminuta,
Calidris subruficollis,"Bécasseau rousset, Bécasseau roussâtre"
Tringa subruficollis,
Tryngites subruficollis,Bécasseau roussâtre
Calidris temminckii,Bécasseau de Temminck
Erolia temminckii,
Tringa temminckii,
Calidris tenuirostris,Bécasseau de l'Anadyr
Totanus tenuirostris,
Coenocorypha neocaledonica,
Gallinago delicata,Bécassine de Wilson
Scolopax delicata,
Gallinago gallinago,Bécassine des marais
Capella gallinago,
Gallino gallino,
Scolopax gallinago,
Telmatias faeroeensis,
Gallinago media,Bécassine double
Capella media,
Scolopax media,
Gallinago paraguaiae,"Bécassine sud-américaine, Bécassine de Magellan"
Scolopax Paraguaiae,
Gallinago undulata,Bécassine géante
Scolopax undulata,
Heteroscelus brevipes,Chevalier de Sibérie
Totanus brevipes,
Tringa brevipes,
Heteroscelus incanus,Chevalier errant
Scolopax incana,
Tringa incana,
Limnodromus griseus,"Bécassin à bec court, Limnodrome à bec court, Bécassin roux, Grise à long bec"
Scolopax grisea,
Limnodromus scolopaceus,"Bécassin à long bec, Limnodrome à long bec"
Limosa scolopacea,
Limosa fedoa,Barge marbrée
Scolopax fedoa,
Limosa haemastica,Barge hudsonienne
Scolopax haemastica,
Limosa lapponica,Barge rousse
Limosa laponica,
Scolopax lapponica,
Limosa limosa,Barge à queue noire
Scolopax limosa,
Limosa islandica,
Lymnocryptes minimus,Bécassine sourde
Galinago minima,
Scolopax minima,
Numenius americanus,Courlis à long bec
Numenius arquata,Courlis cendré
Scolopax arcuata,
Scolopax arquata,
Tringa arquata,
Numenius borealis,Courlis esquimau
Scolopax borealis,
Numenius madagascariensis,Courlis de Sibérie
Scolopax madagascariensis,
Numenius minutus,Courlis nain
Numenius phaeopus,Courlis corlieu
Scolopax phaeopus,
Numenius hudsonicus,Courlis hudsonien
Tantalus variegatus,
Numenius tahitiensis,Courlis d'Alaska
Scolopax tahitiensis,
Numenius tenuirostris,Courlis à bec grêle
Phalaropus fulicarius,Phalarope à bec large
Phalaropus fulicaria,"Phalarope à bec large, Phalarope roux"
Tringa fulicaria,
Phalaropus lobatus,Phalarope à bec étroit
Lobipes lobatus,
Tringa lobata,
Tringa tobata,
Prosobonia cancellata,Chevalier des Tuamotu
Aechmorhynchus cancellatus,
Tringa cancellata,
Prosobonia ellisi,Chevalier de Ellis
Prosobonia leucoptera,Chevalier à ailes blanches
Tringa leucoptera,
Prosobonia parvirostris,Chevalier des Tuamotu
Aechmorhynchus parvirostris,
Tringa parvirostris,
Scolopax minor,Bécasse d'Amérique
Scolopax rusticola,Bécasse des bois
Scolopax scolopax,
Steganopus tricolor,Phalarope de Wilson
Phalaropus tricolor,
Tringa erythropus,Chevalier arlequin
Scolopax erythropus,
Tringa flavipes,"Chevalier à pattes jaunes, Petit Chevalier à pattes jaunes, Pattes jaunes"
Scolopax flavipes,
Totanus flavipes,
Tringa glareola,Chevalier sylvain
Tringa melanoleuca,"Chevalier criard, Grand Chevalier à pattes jaunes"
Scolopax melanoleuca,
Totanus melanoleucus,
Tringa nebularia,Chevalier aboyeur
Scolopax nebularia,
Tringa ochropus,Chevalier culblanc
Tringa semipalmata,"Chevalier semipalmé, Aile Blanche"
Catoptrophorus semipalmatus,Chevalier semipalmé
Scolopax semipalmata,
Tringa solitaria,Chevalier solitaire
Tringa stagnatilis,Chevalier stagnatile
Totanus stagnatilis,
Tringa totanus,Chevalier gambette
Scolopax totanus,
Xenus cinereus,"Chevalier bargette, Bargette du Térek"
Scolopax cinerea,
Scolopax terek,
Terekia cinerea,
Tringa cinerea,
Tringa terek,
Stercorarius antarcticus,Labbe antarctique
Catharacta antarctica,
Lestris antarcticus,
Megalestris antarctica,
Stercorarius antarctica,
Catharacta lonnbergi,
Stercorarius lonnbergi,
Stercorarius chilensis,Labbe du Chili
Catharacta chilensis,
Stercorarius longicaudus,Labbe à longue queue
Stercorarius maccormicki,Labbe de McCormick
Catharacta maccormicki,Labbe de McCormick
Stercorarius parasiticus,Labbe parasite
Larus parasiticus,
Stercorarius pomarinus,Labbe pomarin
Lestris pomarinus,
Stercorarius skua,Grand Labbe
Catharacta skua,Grand Labbe
Turnix nigricollis,"Hémipode de Madagascar, Turnix de Madagascar"
Tetrao nigricollis,
Turnix varius,
Perdix varia,
Turnix varia,
Turnix novaecaledoniae,
Alectroenas sganzini,Founingo des Comores
Funingus sganzini,
Alopecoenas rubescens,Gallicolombe des Marquises
Columba rubescens,
Gallicolumba rubescens,
Bountyphaps obsoleta,
Caloenas canacorum,
Chalcophaps indica,Colombine turvert
Columba indica,
Chalcophaps longirostris,Colombine du Pacifique
Claravis pretiosa,Colombe bleutée
Peristera pretiosa,
Columba livia,Pigeon biset
Columba oenas,Pigeon colombin
Columba palumbus,Pigeon ramier
Columba pollenii,Pigeon des Comores
Columba vitiensis,Pigeon à gorge blanche
Ianthoenas hypoenochroa,
Columbina minuta,Colombe pygmée
Columba minuta,
Columbina passerina,"Colombe à queue noire, Ortolan"
Columba passerina,
Chamaepelia trochila,
Columbina squammata,Colombe écaillée
Columba squammata,
Columbina talpacoti,Colombe rousse
Columba Talpacoti,
Drepanoptila holosericea,"Ptilope vlouvlou, Pigeon vert"
Columba Holosericea,
Ducula aurorae,Carpophage de la Société
Carpophaga aurorae,
Ducula galeata,Carpophage des Marquises
Serresius galeatus,
Ducula goliath,"Carpophage géant, Notou"
Carpophaga goliath,
Ducula pacifica,Carpophage pacifique
Columba pacifica,
Ducula tihonireasini,
Gallicolumba longitarsus,
Gallicolumba nui,Gallicolombe géante
Geopelia cuneata,Géopélie diamant
Columba cuneata,
Geopelia striata,Géopélie zébrée
Columba striata,
Geotrygon montana,"Colombe roux violet, Colombe rouviolette, Perdrix rouge"
Columba montana,
Columba martinica,
Geotrygon mystacea,"Colombe à croissant, Perdrix croissant"
Columba mystacea,
Leptotila rufaxilla,Colombe à front gris
Columba Rufaxilla,
Leptotila verreauxi,Colombe de Verreaux
Peristera brasiliensis,
Macropygia arevarevauupa,Phasianelle de la Société
Macropygia heana,Phasianelle des Marquises
Nesoenas duboisi,Pigeon de La Réunion
Columba duboisi,
Nesoenas picturatus,"Tourterelle peinte, Tourterelle malgache, Ramier"
Columba picturata,
Streptopelia picturata,
Oena capensis,Tourterelle masquée
Columba capensis,
Pampusana erythroptera,Gallicolombe érythroptère
Alopecoenas erythropterus,
Columba erythroptera,
Gallicolumba erythroptera,
Pampusana stairi,Gallicolombe de Stair
Alopecoenas stairi,Gallicolombe de Stair
Calœnas (Phlegœnas) Stairi,
Gallicolumba stairi,
Patagioenas cayennensis,Pigeon rousset
Columba cayennensis,Pigeon rousset
Patagioenas leucocephala,Pigeon à couronne blanche
Columba leucocephala,
Patagioenas plumbea,Pigeon plombé
Columba plumbea,Pigeon plombé
Patagioenas speciosa,Pigeon ramiret
Columba speciosa,Pigeon ramiret
Patagioenas squamosa,Pigeon à cou rouge
Columba squamosa,
Patagioenas subvinacea,Pigeon vineux
Chloroenas subvinacea,
Columba subvinacea,Pigeon vineux
Columba purpureotincta,
Ptilinopus chrysogaster,Ptilope des îles-sous-le-Vent
Ptilinopus coralensis,Ptilope des Tuamotu
Ptilinopus chalcurus,
Ptilinopus dupetithouarsii,"Ptilope de Petit-Thouars, Ptilope Dupetit-Thouars"
Columba Du Petithouarsii,
Ptilinopus greyii,"Ptilope de Grey, Pigeon vert des îles"
Ptilinopus huttoni,Ptilope de Hutton
Ptilinopus mercierii,Ptilope de Mercier
Kurukuru Mercierii,
Ptilinopus porphyraceus,Ptilope de Clémentine
Columba porhyracea,
Ptilinopus purpuratus,Ptilope de la Société
Columba purpurata,
Spilopelia chinensis,Tourterelle tigrine
Columba chinensis,
Stigmatopelia chinensis,
Streptopelia chinensis,
Columba Tigrina,
Streptopelia capicola,Tourterelle du Cap
Streptopelia decaocto,Tourterelle turque
Columba decaocto,
Streptopelia orientalis,Tourterelle orientale
Columba orientalis,
Streptopelia roseogrisea,Tourterelle rieuse
Columba roseogrisea,
Streptopelia senegalensis,Tourterelle maillée
Columba senegalensis,
Spilopelia senegalensis,
Stigmatopelia senegalensis,
Streptopelia turtur,Tourterelle des bois
Columba turtur,
Turtur tympanistria,Tourterelle tambourette
Columba Tympanistria,
Zenaida asiatica,Tourterelle à ailes blanches
Columba asiatica,
Zenaida auriculata,Tourterelle oreillarde
Peristera auriculata,
Zenaida aurita,Tourterelle à queue carrée
Columba Aurita,
Zenaida macroura,Tourterelle triste
Columba macroura,
Alcedo atthis,Martin-pêcheur d'Europe
Alcedo ispida,
Gracula atthis,
Chloroceryle aenea,Martin-pêcheur nain
Alcedo aenea,
Chloroceryle amazona,Martin-pêcheur d'Amazonie
Alcedo amazona,
Chloroceryle americana,Martin-pêcheur vert
Alcedo americana,
Chloroceryle inda,Martin-pêcheur bicolore
Alcedo inda,
Corythornis vintsioides,Martin-pêcheur vintsi
Alcedo vintsioides,
Megaceryle alcyon,Martin-pêcheur d'Amérique
Alcedo alcyon,
Ceryle alcyon,
Megaceryle torquata,Martin-pêcheur à ventre roux
Alcedo torquata,
Ceryle torquata,
Ceryle stictipennis,
Todiramphus chloris,Martin-chasseur à collier blanc
Alcedo Chloris,
Halcyon chloris,
Todirhamphus chloris,
Todiramphus gambieri,Martin-chasseur des Gambier
Halcyon gambieri,
Todirhamphus gambieri,
Todiramphus gertrudae,Martin-chasseur de Niau
Todiramphus godeffroyi,Martin-chasseur des Marquises
Halcyon godeffroyi,
Todirhamphus godeffroyi,
Todiramphus sanctus,
Halcyon sancta,
Todirhamphus sanctus,
Todiramphus tutus,Martin-chasseur respecté
Alcedo tuta,
Todirhamphus tuta,
Todiramphus veneratus,Martin-chasseur vénéré
Alcedo venerata,
Todirhamphus veneratus,
Todiramphus youngi,Martin-chasseur de Young
Coracias garrulus,Rollier d'Europe
Eurystomus glaucurus,Rolle violet
Coracias glaucurus,
Eurystomus orientalis,Rolle oriental
Coracias orientalis,
Merops apiaster,Guêpier d'Europe
Merops persicus,Guêpier de Perse
Merops superciliosus,Guêpier malgache
Momotus momota,Motmot houtouc
Ramphastos momota,
Cacomantis flabelliformis,Coucou à éventail
Cuculus flabelliformis,
Cuculus pyrrhophanus,
Chalcites lucidus,Coucou éclatant
Chrysococcyx lucidus,
Cuculus lucidus,
Chrysococcyx caprius,Coucou didric
Cuculus caprius,
Clamator glandarius,Coucou geai
Cuculus glandarius,
Coccycua minuta,Petit Piaye
Coccyzus minutus,
Piaya minuta,Petit Piaye
Coccyzus americanus,"Coulicou à bec jaune, Coucou à bec jaune"
Cuculus americanus,
Coccyzus erythropthalmus,"Coulicou à bec noir, Coucou à bec noir"
Coccyzus erythrophtalmus,
Cuculus erythrophtalma,
Coccyzus euleri,Coulicou d'Euler
Coccyzus julieni,
Coccyzus melacoryphus,Coulicou de Vieillot
Coccyzus minor,"Coulicou manioc, Coulicou masqué, Coulicou manioc, Coccyzus des palétuviers, Coulicou des palétuviers"
Cuculus minor,
Crotophaga ani,"Ani à bec lisse, Bilbitin, Gros merle de Sainte-Lucie"
Crotophaga major,Ani des palétuviers
Cuculus canorus,Coucou gris
Cuculus poliocephalus,Petit Coucou
Cuculus rochii,Coucou de Madagascar
Cuculus solitarius,Coucou solitaire
Dromococcyx pavoninus,Géocoucou pavonin
Dromococcyx phasianellus,Géocoucou faisan
Macropus phasianellus,
Piaya cayana,Piaye écureuil
Cuculus cayanus,
Piaya melanogaster,Piaye à ventre noir
Cuculus melanogaster,
Scythrops novaehollandiae,Coucou présageur
Tapera naevia,Géocoucou tacheté
Cuculus naevius,
Urodynamys taitensis,Coucou de Nouvelle-Zélande
Cuculus taitensis,
Eudynamys taitensis,
Urodynamis taitensis,Coucou de Nouvelle-Zélande
Eurypyga helias,Caurale soleil
Ardea helias,
Rhynochetos jubatus,"Kagou huppé, Cagou"
Rhynochetos orarius,
Caracara cheriway,Caracara du Nord
Falco cheriway,
Caracara plancus,Caracara huppé
Falco plancus,
Daptrius ater,Caracara noir
Falco amurensis,Faucon de l'Amour
Falco biarmicus,Faucon lanier
Falco feldeggi,
Falco cenchroides,Crécerelle d’Australie
Falco cherrug,Faucon sacre
Falco columbarius,Faucon émerillon
Falco aesalon,
Falco concolor,Faucon concolore
Falco deiroleucus,Faucon orangé
Falco duboisi,Crécerelle de la Réunion
Falco eleonorae,Faucon d'Éléonore
Falco femoralis,Faucon aplomado
Falco mexicanus,Faucon des prairies
Falco naumanni,Faucon crécerellette
Cerchneis naumanni,
Falco newtoni,
Tinnunculus newtoni,
Falco peregrinus,Faucon pèlerin
Falco brookei,
Falco calidus,
Falco pelegrinoides,Faucon de Barbarie
Falco rufigularis,Faucon des chauves-souris
Falco rusticolus,Faucon gerfaut
Falco gyrfalco,
Falco islandus,
Falco sparverius,Crécerelle d'Amérique
Falco caribaearum,
Falco subbuteo,Faucon hobereau
Falco tinnunculus,Faucon crécerelle
Cerchneis tinnunculus,
Falco vespertinus,Faucon kobez
Herpetotheres cachinnans,"Macagua rieur, Faucon rieur, Macagua"
Falco cachinnans,
Ibycter americanus,Caracara à gorge rouge
Daptrius americanus,Caracara à gorge rouge
Falco americanus,
Micrastur gilvicollis,Carnifex à gorge cendrée
Sparvius gilvicollis,
Micrastur mirandollei,Carnifex ardoisé
Astur mirandollei,
Micrastur ruficollis,Carnifex barré
Sparvius ruficollis,
Nisus concentricus,
Micrastur semitorquatus,Carnifex à collier
Sparvius semi-torquatus,
Milvago chimachima,Caracara à tête jaune
Polyborus chimachima,
Crax alector,"Hocco alector, Hocco noir"
Ortalis motmot,Ortalide motmot
Phasianus Motmot,
Penelope marail,"Pénélope marail, Maraïl, Maray"
Phasianus Marail,
Pipile cumanensis,"Pénélope à gorge bleue, Pénélope siffleuse"
Aburria cumanensis,
Aburria pipile,
Crax cumanensis,
Megapodius molistructor,
Numida meleagris,"Pintade de Numidie, Pintade commune"
Phasianus meleagris,
Callipepla californica,Colin de Californie
Tetrao californicus,
Colinus cristatus,Colin huppé
Tetrao cristatus,
Perdix sonnini,
Colinus virginianus,Colin de Virginie
Tetrao virginianus,
Odontophorus gujanensis,"Tocro de Guyane, Tocro"
Tetrao gujanensis,
Alectoris barbara,Perdrix gambra
Perdix barbara,
Alectoris chukar,"Perdrix chukar, Perdrix choucar"
Perdix chukar,
Alectoris graeca,Perdrix bartavelle
Perdix graeca,
Alectoris rufa,Perdrix rouge
Caccabis rufa,
Tetrao rufus,
Bonasa bonasia,Gélinotte des bois
Bonasia bonasia,
Tetrao bonasia,
Tetrastes bonasia,
Bonasa umbellus,Gélinotte huppée
Tetrao umbellus,
Chrysolophus pictus,Faisan doré
Phasianus pictus,
Coturnix coturnix,Caille des blés
Tetrao coturnix,
Francolinus francolinus,Francolin noir
Tetrao francolinus,
Francolinus pondicerianus,Francolin gris
Tetrao pondicerianus,
Gallus gallus,"Coq bankiva, Coq, Poule"
Gallus domesticus,
Phasianus gallus,
Lagopus lagopus,Lagopède des saules
Lagopus scoticus,
Tetrao lagopus,
Lagopus albus,
Tetrao albus,
Lagopus muta,Lagopède alpin
Lagopus mutus,
Tetrao mutus,
Tetrao helveticus,
Lyrurus tetrix,Tétras lyre
Tetrao tetrix,
Margaroperdix madagarensis,Perdrix de Madagascar
Margaroperdix madagascarensis,
Tetrao madagarensis,
Meleagris gallopavo,Dindon sauvage
Pavo cristatus,Paon
Perdicula asiatica,Perdicule rousse-gorge
Perdix asiatica,
Perdix palaeoperdix,
Perdix perdix,Perdrix grise
Tetrao perdix,
Perdix hispaniensis,
Phasianus colchicus,Faisan de Colchide
Phasianus torquatus,
Synoicus chinensis,Caille peinte
Coturnix chinensis,
Tetrao chinensis,
Syrmaticus reevesii,"Faisan vénéré, Faisans de Chasse"
Phasianus Reevesii,
Tetrao urogallus,Grand Tétras
Tetrao major,
Sylviornis neocaledoniae,
Gavia adamsii,Plongeon à bec blanc
Colymbus adamsii,
Gavia arctica,Plongeon arctique
Colymbus arcticus,
Gavia immer,Plongeon imbrin
Colymbus immer,
Gavia stellata,Plongeon catmarin
Colymbus stellatus,
Gavia septentrionalis,
Aramus guarauna,Courlan brun
Scolopax Guarauna,
Anthropoides virgo,Grue demoiselle
Ardea virgo,
Grus virgo,
Antigone canadensis,Grue du Canada
Ardea canadensis,
Grus canadensis,Grue du Canada
Balearica pavonina,Grue couronnée
Ardea pavonina,
Grus antigone,Grue antigone
Ardea Antigone,
Grus grus,Grue cendrée
Ardea grus,
Megalornis grus,
Grus japonensis,Grue du Japon
Grus primigenia,
Heliornis fulica,Grébifoulque d'Amérique
Colymbus fulica,
Psophia crepitans,"Agami trompette, Agami, Aganmi"
Amaurolimnas concolor,Râle concolore
Rallus concolor,
Amaurornis cinerea,Râle cendré
Poliolimnas cinereus,
Porphyrio cinereus,
Porzana cinerea,
Rallus tannensis,
Aramides axillaris,Râle à cou roux
Aramides cajaneus,Râle de Cayenne
Aramides cajanea,Râle de Cayenne
Fulica cajanea,
Aramides mangle,Râle des palétuviers
Eulabeornis mangle,
Gallinula mangle,
Coturnicops noveboracensis,"Marouette jaune, Râle jaune"
Fulica noveboracensis,
Crex crex,Râle des genêts
Rallus crex,
Crex pratensis,
Dryolimnas augusti,Râle de la Réunion
Dryolimnas cuvieri,
Fulica americana,Foulque d'Amérique
Fulica caribaea,"Foulque des Caraïbes, Poule d'eau à cachet blanc, Foulque à cachet blanc"
Fulica atra,Foulque macroule
Fulicula atra,
Fulica cristata,"Foulque caronculée, Foulque à crête"
Fulica newtoni,
Fulica newtonii,
Gallinula chloropus,"Gallinule poule-d'eau, Poule-d'eau"
Fulica chloropus,
Gallinula ochropus,
Gallinula galeata,"Gallinule d'Amérique, Poule d'eau, Gallinule poule d’eau"
Crex galeata,
Gallinula tenebrosa,"Gallinule sombre, Poule d'eau"
Gallirallus astolfoi,
Gallirallus epulare,Râle de Nuku Hiva
Gallirallus gracilitibia,Râle de Ua Huka
Gallirallus lafresnayanus,Râle de Lafresnaye
Gallirallus roletti,Râle de Tahuata
Gallirallus steadmani,Râle de Tubuai
Gallirallus storrsolsoni,Râle de Huahine
Hapalocrex flaviventer,Marouette à sourcils blancs
Porzana flaviventer,Marouette à sourcils blancs
Rallus flaviventer,
Hypotaenidia pacifica,Rale teve'a
Gallirallus pacificus,Râle tévéa
Rallus pacificus,
Hypotaenidia philippensis,Râle tiklin
Gallirallus philippensis,Râle tiklin
Rallus philippensis,
Laterallus exilis,Râle grêle
Rallus exilis,
Laterallus melanophaius,Râle brunoir
Rallus melanophaius,
Micropygia schomburgkii,Râle ocellé
Crex Schomburgkii,
Mustelirallus albicollis,Marouette plombée
Porzana albicollis,
Rallus albicollis,
Mustelirallus erythrops,Râle à bec peint
Neocrex erythrops,
Porzana erythrops,
Paragallinula angulata,Gallinule africaine
Gallinula angulata,
Pardirallus maculatus,Râle tacheté
Rallus maculatus,
Porphyrio alleni,"Talève d'Allen, Poule sultane d'Allen"
Porphyrula alleni,
Porphyrio coerulescens,Talève de La Réunion
Apterornis coerulescens,
Porphyrio flavirostris,Talève favorite
Fulica flavirostris,
Porphyrula flavirostris,
Porphyrio kukwiedei,
Porphyrio madagascariensis,Talève d'Afrique
Gallinula madagascariensis,
Porphyrio martinicus,Talève violacée
Fulica martinica,
Porphyrio martinica,Talève violacée
Porphyrula martinica,
Porphyrio mcnabi,Poule sultane de Huahine
Porphyrio paepae,Poule sultane des Marquises
Porphyrio porphyrio,"Talève sultane, Poule sultane, Porphyrion bleu"
Fulica porphyrio,
Porzana carolina,Marouette de Caroline
Rallus carolinus,
Porzana nigra,"Râle de Tahiti, Râle de Miller"
Rallus nigra,
Zapornia nigra,
Porzana porzana,Marouette ponctuée
Rallus porzana,
Rallus aquaticus,Râle d'eau
Rallus crepitans,Râle tapageur
Rallus elegans,Râle élégant
Rallus limicola,Râle de Virginie
Rallus longirostris,"Râle à long bec, Râle gris, Pintade"
Rufirallus viridis,Râle kiolo
Anurolimnas viridis,Râle kiolo
Laterallus viridis,
Rallus viridis,
Zapornia parva,Marouette poussin
Porzana parva,
Rallus parvus,
Zapornia pusilla,Marouette de Baillon
Porzana pusilla,
Rallus intermedius,
Rallus pusillus,
Ortygometra affinis,
Zapornia tabuensis,Marouette fuligineuse
Porzana tabuensis,
Rallus tabuensis,
Leptosomus discolor,Courol vouroudriou
Cuculus discolor,
Opisthocomus hoazin,"Hoazin huppé, Hoazin, Sassa"
Phasianus Hoazin,
Chlamydotis macqueenii,Outarde de Macqueen
Otis Macqueenii,
Otis tarda,"Outarde barbue, Grande Outarde"
Tetrax tetrax,Outarde canepetière
Otis tetrax,
Gerygone flavolateralis,Gérygone mélanésienne
Acanthiza flavolateralis,
Acrocephalus agricola,Rousserolle isabelle
Sylvia (Acrocephalus) agricola,
Acrocephalus arundinaceus,Rousserolle turdoïde
Acrocephalus turdoides,
Sylvia turdoides,
Turdus arundinaceus,
Acrocephalus astrolabii,"Rousserolle des Gambier, Rousserolle de Mangareva"
Acrocephalus atyphus,Rousserolle des Tuamotu
Conopoderas atypha,
Acrocephalus caffer,"Rousserolle de Tahiti, Rousserolle à long bec"
Sitta caffra,
Acrocephalus dumetorum,Rousserolle des buissons
Acrocephalus longirostris,Rousserolle de Moorea
Turdus longirostris,
Acrocephalus melanopogon,Lusciniole à moustaches
Lusciniola melanopogon,
Sylvia melanopogon,
Acrocephalus mendanae,Rousserolle des Marquises
Acrocephalus musae,"Rousserolle des îles sous le Vent, Rousserolle de Raiatea"
Acrocephalus paludicola,Phragmite aquatique
Sylvia palaudicola,
Acrocephalus palustris,Rousserolle verderolle
Sylvia palustris,
Acrocephalus percernis,Rousserolle des Marquises
Conopoderas percernis,
Acrocephalus rimitarae,Rousserolle de Rimatara
Acrocephalus schoenobaenus,Phragmite des joncs
Motacilla schoenobaenus,
Acrocephalus scirpaceus,Rousserolle effarvatte
Acrocephalus scirpeus,
Turdus scirpaceus,
Hippolais icterina,"Hypolaïs ictérine, Grand contrefaisant"
Sylvia icterina,
Hippolais polyglotta,"Hypolaïs polyglotte, Petit contrefaisant"
Sylvia polyglotta,
Iduna caligata,"Hypolaïs bottée, Hypolaïs russe, Hypolaïs de Russie"
Hippolais caligata,
Sylvia caligata,
Iduna opaca,Hypolaïs obscure
Hippolais opaca,
Iduna pallida,Hypolaïs pâle
Curruca palida,
Hippolais pallida,
Iduna rama,Hypolaïs rama
Hippolais rama,
Sylvia rama,
Nesillas typica,
Ellisia typica,
Aegithalos caudatus,"Mésange à longue queue, Orite à longue queue"
Parus caudatus,
Alauda arvensis,Alouette des champs
Alauda cantarella,
Alaudala rufescens,Alouette pispolette
Alauda pispoletta,
Alauda rufescens,
Calandrella pispoletta,
Calandrella rufescens,
Calandrella rufscens,
Ammomanes cinctura,Ammomane élégante
Melanocorypha cinctura,
Calandrella brachydactyla,Alouette calandrelle
Alauda brachydactila,
Alauda cinerea,
Calandrella cinerea,
Chersophilus duponti,Sirli de Dupont
Alauda duponti,
Eremophila alpestris,Alouette haussecol
Alauda alpestris,
Alauda flava,
Chionophilos alpestris,
Galerida cristata,Cochevis huppé
Alauda cristata,
Galerida theklae,Cochevis de Thékla
Alauda thaklae,
Galerida theclae,
Galerita theklae,
Lullula arborea,Alouette lulu
Alauda arborea,
Melanocorypha bimaculata,Alouette monticole
Alauda bimaculata,
Melanocorypha calandra,Alouette calandre
Alauda calandra,
Artamus cyanopterus,Langrayen sordide
Loxia cyanoptera,
Artamus leucorhynchus,
Artamus leucoryn,
Lanius leucorynchus,
Leptopteryx melaleuca,
Bombycilla cedrorum,Jaseur d'Amérique
Bombycilla garrulus,"Jaseur boréal, Jaseur de Bohème"
Lanius garrulus,
Calcarius lapponicus,Bruant lapon
Fringilla lapponica,
Calcarius ornatus,Bruant à col roux
Plectrophenax nivalis,Bruant des neiges
Emberiza nivalis,
Coracina caledonica,Échenilleur calédonien
Corvus caledonicus,
Graucalus lifuensis,
Coracina novaehollandiae,Échenilleur à masque noir
Turdus novaehollandiae,
Edolisoma anale,"Échenilleur de montagne, Siffleur de montagne"
Campephaga analis,
Coracina analis,Échenilleur de montagne
Lalage leucopyga,
Symmorphus leucopygus,
Lalage maculosa,
Colluricincla maculosa,
Lalage newtoni,"Échenilleur de la Réunion, Tuit-tuit de la Réunion"
Coracina newtoni,Tuit-tuit
Oxynotus newtoni,
Cardinalis cardinalis,Cardinal rouge
Caryothraustes canadensis,Cardinal flavert
Loxia canadensis,
Caryothraustes erythromelas,Cardinal érythromèle
Loxia erythromelas,
Periporphyrus erythromelas,
Cyanoloxia rothschildii,Évêque de Rothschild
Guiraca rothschildii,
Granatellus pelzelni,"Granatelle de Pelzeln, Paruline de Pelzeln"
Passerina caerulea,Guiraca bleu
Guiraca caerulea,
Loxia caerulea,
Passerina cyanea,Passerin indigo
Tanagra cyanea,
Pheucticus ludovicianus,"Cardinal à poitrine rose, Grosbec à poitrine rose"
Loxia ludoviciana,
Piranga flava,"Piranga orangé, Tangara orangé"
Saltator Flavus,
Piranga haemalea,
Piranga olivacea,Tangara écarlate
Tanagra olivacea,
Piranga rubra,Tangara vermillon
Fringilla rubra,
Spiza americana,Dickcissel d'Amérique
Emberiza americana,
Certhia americana,Grimpereau brun
Certhia familiaris,
Certhia brachydactyla,Grimpereau des jardins
Cinclus cinclus,Cincle plongeur
Cinclus meridionalis,
Sturnus cinclus,
Cisticola juncidis,Cisticole des joncs
Sylvia cisticola,
Sylvia Juncidis,
Sylvia juncidis,
Conopophaga aurita,"Conophage à oreilles blanches, Conopophage à oreilles blanches"
