species,vernacularName_fr
Alopochen kervazoi,Ouette de la Réunion
Mascarenachen kervazoi,
Anas acuta,Canard pilet
Anas aucklandica,Sarcelle de Nouvelle-Zélande
Nesonetta aucklandica,
Anas bahamensis,"Canard des Bahamas, Pilet des Bahamas"
Anas capensis,Canard du Cap
Anas crecca,Sarcelle d'hiver
Anas carolinensis,"Sarcelle à ailes vertes, Sarcelle de la Caroline"
Anas eatoni,Canard d'Eaton
Querquedula eatoni,
Anas drygalskii,
Anas falcata,Canard à faucilles
Anas flavirostris,Sarcelle tachetée
Anas georgica,Canard à queue pointue
Anas gracilis,"Sarcelle australasienne, Sarcelle grise"
Anas marecula,Canard d’Amsterdam
Anas melleri,Canard de Meller
Anas platyrhynchos,Canard colvert
Anas boschas,
Anas poecilorhyncha,Canard à bec tacheté
Anas rubripes,Canard noir
Anas superciliosa,Canard à sourcils
Anas theodori,Canard de Maurice
Anas versicolor,Sarcelle bariolée
Aythya affinis,"Fuligule à tête noire, Petit Fuligule, Petit morillon"
Fuligula affinis,
Aythya americana,Fuligule à tête rouge
Fuligula americana,
Aythya australis,Fuligule austral
Nyroca australis,
Aythya collaris,"Fuligule à bec cerclé, Fuligule à collier, Morillon à collier"
Anas collaris,
Aythya ferina,Fuligule milouin
Anas ferina,
Nyroca ferina,
Aythya fuligula,Fuligule morillon
Anas fuligula,
Nyroca fuligula,
Aythya marila,Fuligule milouinan
Anas marila,
Aythya nyroca,Fuligule nyroca
Anas nyroca,
Aythya valisineria,Fuligule à dos blanc
Anas valisineria,
Bucephala albeola,Garrot albéole
Anas albeola,
Bucephala clangula,Garrot à oeil d'or
Anas Clangula,
Glaucionetta clangula,
Bucephala islandica,Garrot d'Islande
Anas islandica,
Cairina moschata,Canard musqué
Anas moschata,
Callonetta leucophrys,Canard à collier noir
Anas leucophrys,
Clangula hyemalis,"Harelde boréale, Harelde de Miquelon"
Anas hyemalis,
Histrionicus histrionicus,"Arlequin plongeur, Garrot arlequin"
Anas histrionica,
Lophodytes cucullatus,Harle couronné
Mergellus cucullatus,
Mergus cucullatus,
Mareca americana,"Canard à front blanc, Canard d'Amérique, Canard siffleur d'Amérique"
Anas americana,"Canard siffleur d'Amérique, Canard d'Amérique"
Mareca penelope,Canard siffleur
Anas penelope,Canard siffleur
Mareca sibilatrix,Canard de Chiloé
Anas sibilatrix,
Mareca strepera,Canard chipeau
Anas strepera,Canard chipeau
Marmaronetta angustirostris,Sarcelle marbrée
Anas angustirostris,
Melanitta americana,Macreuse à bec jaune
Oidemia Americana,
Melanitta deglandi,Macreuse à ailes blanches
Oedemia deglandi,
Oidemia deglandi,
Melanitta fusca,Macreuse brune
Anas fusca,
Oidemia fusca,
Melanitta nigra,Macreuse noire
Anas nigra,
Oidemia nigra,
Melanitta perspicillata,Macreuse à front blanc
Anas perspicillata,
Mergellus albellus,Harle piette
Mergullus albellus,
Mergus albellus,
Mergus merganser,Harle bièvre
Mergus serrator,Harle huppé
Netta peposaca,Nette demi-deuil
Anas peposaca,
Netta rufina,Nette rousse
Anas rufina,
Polysticta stelleri,Eider de Steller
Anas Stelleri,
Polystica stelleri,
Somateria stelleri,
Sarkidiornis melanotos,"Canard à bosse, Sarcidiorne à bosse"
Anser melanotos,
Sibirionetta formosa,Sarcelle élégante
Anas formosa,Sarcelle élégante
Somateria mollissima,Eider à duvet
Anas molissima,
Somateria spectabilis,Eider à tête grise
Anas spectabilis,
Spatula clypeata,Canard souchet
Anas clypeata,Canard souchet
Spatula cyanoptera,Sarcelle cannelle
Anas cyanoptera,Sarcelle cannelle
Spatula discors,Sarcelle à ailes bleues
Anas discors,"Sarcelle à ailes bleues, Sarcelle soucrourou"
Spatula hottentota,
Querquedula hottentota,
Spatula querquedula,Sarcelle d'été
Anas querquedula,Sarcelle d'été
Querquedula creca,
Spatula rhynchotis,"Canard bridé, Souchet australien"
Anas rhynchotis,Canard bridé
Tadorna cana,Tadorne à tête grise
Anas cana,
Tadorna ferruginea,"Tadorne casarca, Casarca roux"
Anas ferruginea,
Casarca ferruginea,
Tadorna tadorna,Tadorne de Belon
Anas tadorna,
Tadorna tadornoides,Tadorne d'Australie
Anas tadornoides,
Tadorna variegata,Tadorne de paradis
Anas variegata,
Anser albifrons,Oie rieuse
Branta albifrons,
Anser anser,Oie cendrée
Anas anser,
Anser domesticus,
Anser brachyrhynchus,Oie à bec court
Anser Brachyrhynchus,
Anser caerulescens,Oie des neiges
Anas caerulescens,
Chen caerulescens,
Anser cygnoides,Oie cygnoïde
Anas Cygnoid,
Anser cygnoid,
Anser erythropus,Oie naine
Anas erythropus,
Anser fabalis,"Oie de taïga, Oie des moissons"
Anas fabalis,
